"","baseMean","log2FoldChange","lfcSE","pvalue","padj","transcript_biotype","description"
"TSPAN6",153.693513525575,0.0855267792873298,0.0701931201303937,0.155774764351469,0.282310588809326,"protein_coding","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"TNMD",0.146248535816896,-0.00481748257723325,0.407514902354026,0.916570537603807,NA,"protein_coding","tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]"
"DPM1",188.508639798684,0.0061733367336632,0.0690557551497877,0.91754148947033,0.950423266065912,"protein_coding","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"SCYL3",63.8266154269358,0.13205386834995,0.076574897740444,0.0392000056892548,0.0962639329878031,"protein_coding","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"C1orf112",21.8513367643867,-0.175349273455416,0.11841219641591,0.0374450145571807,0.0926239116459032,"protein_coding","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"FGR",0.165627069220884,0.00278665801263964,0.34382633747461,0.970377917955451,NA,"protein_coding","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
"CFH",624.053022426843,2.02254695072502,0.232399681660389,1.36980604839301e-20,6.02227028071815e-19,"protein_coding","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"FUCA2",231.131735073918,-0.3467431348749,0.0567566107175554,4.15172499724936e-11,7.17572316636546e-10,"protein_coding","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
"GCLC",94.9999418300539,-0.118035504328809,0.0827626063837871,0.0800217102403995,0.170284294112755,"protein_coding","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"NFYA",66.2075649633814,-0.297498009616546,0.0839051545916416,2.50210055591617e-05,0.000168522736996139,"protein_coding","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
"STPG1",24.7047624951428,-0.103869970727025,0.0895596778933112,0.142021091822728,0.262783510271283,"protein_coding","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
"NIPAL3",245.126225568074,-0.0916228209591443,0.0543844180753984,0.064084841488358,0.142486509266668,"protein_coding","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"LAS1L",72.4606155079261,0.0453131066973261,0.0699688364224752,0.451360572511148,0.604506453783222,"protein_coding","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"ENPP4",23.5146821684528,0.16877183077042,0.141364733661674,0.0655350224562286,0.145235445361805,"protein_coding","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"SEMA3F",7.88645947941333,-1.55769372461812,0.254045534845874,3.57116003983692e-11,6.23575952971525e-10,"protein_coding","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"CFTR",0.395070998820814,-0.1227336089003,0.407692397223126,0.196902474068892,NA,"protein_coding","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]"
"ANKIB1",610.472332651963,0.0913746250455296,0.0255463624360516,0.000257466796242117,0.0013380590768742,"protein_coding","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
"CYP51A1",19.5677541561544,0.0476014737799305,0.101293845712172,0.5253019507324,0.669133070824974,"protein_coding","cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
"KRIT1",30.1580045182551,-0.0136264585621518,0.0895383926074316,0.84617584493838,0.905640814109186,"protein_coding","KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]"
"RAD52",28.6475282960663,-0.0836996483537411,0.0905382174837121,0.238697437044612,0.384608775590423,"protein_coding","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"
"BAD",89.7658561370739,-0.107696833945591,0.0853517003111979,0.117052945710194,0.226551398699671,"protein_coding","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"LAP3",269.562554928291,0.279420185221676,0.0799904511567959,3.62694636363115e-05,0.000234740668651402,"protein_coding","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]"
"CD99",1209.16072346714,-0.549769050905864,0.0461301897463256,6.07824380556219e-34,6.71324732508637e-32,"protein_coding","CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"HS3ST1",0.0207241918066241,-0.00233621510684953,0.407333191997725,0.959471360826003,NA,"protein_coding","heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"AOC1",0,0,0.437285813522473,NA,NA,"protein_coding","amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]"
