"","baseMean","log2FoldChange","lfcSE","pvalue","padj","transcript_biotype","description"
"TSPAN6",153.693513525575,0.27748505982129,0.0785327050059662,4.13543532689568e-05,0.000218901538656195,"protein_coding","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"TNMD",0.146248535816896,-0.0134814791865696,0.465159261805375,0.821390225873407,NA,"protein_coding","tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]"
"DPM1",188.508639798684,-0.0778573736150623,0.070839894241908,0.185387122747282,0.314592356060285,"protein_coding","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"SCYL3",63.8266154269358,0.093411826899448,0.0742822215642504,0.126163215361008,0.234485847973528,"protein_coding","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"C1orf112",21.8513367643867,-0.124475264453693,0.109184305987789,0.116122438296198,0.21990183639291,"protein_coding","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"FGR",0.165627069220884,-0.0510978652406373,0.397669905701297,0.589746410983117,NA,"protein_coding","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
"CFH",624.053022426843,2.42436537606056,0.228651520199165,4.61972571129601e-28,2.01761813823749e-26,"protein_coding","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"FUCA2",231.131735073918,-0.24824356394422,0.0539343191512627,5.81881928728654e-07,4.21788711292799e-06,"protein_coding","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
"GCLC",94.9999418300539,0.011078238471634,0.0739512731208949,0.855029108243012,0.912887235500164,"protein_coding","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"NFYA",66.2075649633814,-0.249110523055357,0.0792966530180643,0.000228751871273974,0.00104319838644485,"protein_coding","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
"STPG1",24.7047624951428,-0.229593928055836,0.10366804656874,0.0044082321372749,0.0143628367952558,"protein_coding","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
"NIPAL3",245.126225568074,-0.339558697487874,0.0587597435843789,4.10609430610206e-10,4.59856156532266e-09,"protein_coding","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"LAS1L",72.4606155079261,0.0381649219979417,0.067601302947786,0.500557241988194,0.643039510869481,"protein_coding","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"ENPP4",23.5146821684528,0.096544681218873,0.125157365442492,0.251131269697171,0.395250886739831,"protein_coding","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"SEMA3F",7.88645947941333,-1.93471417308747,0.257966105773156,1.50382669439392e-15,2.81603676159895e-14,"protein_coding","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"CFTR",0.395070998820814,-0.133843480967838,0.438912607548849,0.238012952948008,NA,"protein_coding","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]"
"ANKIB1",610.472332651963,0.0889147646933948,0.025287790722364,0.000256245347241244,0.00115609137880991,"protein_coding","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
"CYP51A1",19.5677541561544,0.0591211288765395,0.101223728738073,0.42681943373884,0.576821064201137,"protein_coding","cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
"KRIT1",30.1580045182551,-0.0771747429806216,0.0928992201371466,0.276601826446921,0.423940225088944,"protein_coding","KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]"
