"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","transcript_biotype","description"
"TSPAN6",153.693513525575,0.111681157306273,0.078680489398537,1.41942631724847,0.155774764351469,0.282310588809326,"protein_coding","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"TNMD",0.146248535816896,-0.37798263213683,3.60826771064812,-0.104754597620734,0.916570537603807,NA,"protein_coding","tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]"
"DPM1",188.508639798684,0.00827805017073171,0.0799571563149835,0.103531072792548,0.91754148947033,0.950423266065912,"protein_coding","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"SCYL3",63.8266154269358,0.172068094895056,0.0834438986729433,2.06208120223952,0.0392000056892548,0.0962639329878031,"protein_coding","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"C1orf112",21.8513367643867,-0.271179080331035,0.130319507084471,-2.08087865276579,0.0374450145571807,0.0926239116459032,"protein_coding","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"FGR",0.165627069220884,0.0584850761756929,1.57496076006787,0.0371343068719837,0.970377917955451,NA,"protein_coding","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
"CFH",624.053022426843,2.12058583575607,0.227954885973184,9.30265577200889,1.36980604839301e-20,6.02227028071815e-19,"protein_coding","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"FUCA2",231.131735073918,-0.364237760479451,0.0551995891155093,-6.59855927038254,4.15172499724936e-11,7.17572316636546e-10,"protein_coding","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
"GCLC",94.9999418300539,-0.16272565074177,0.0929563338781494,-1.75056011734581,0.0800217102403995,0.170284294112755,"protein_coding","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"NFYA",66.2075649633814,-0.339240744455294,0.080491607857386,-4.2146101126015,2.50210055591617e-05,0.000168522736996139,"protein_coding","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
"STPG1",24.7047624951428,-0.153303699780709,0.104408541696916,-1.46830611067942,0.142021091822728,0.262783510271283,"protein_coding","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
"NIPAL3",245.126225568074,-0.107696228862483,0.0581642145357799,-1.85158915532562,0.064084841488358,0.142486509266668,"protein_coding","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"LAS1L",72.4606155079261,0.0605807911724157,0.0804366953320543,0.753148683226349,0.451360572511148,0.604506453783222,"protein_coding","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"ENPP4",23.5146821684528,0.30246606529063,0.164241730203382,1.84159083636104,0.0655350224562286,0.145235445361805,"protein_coding","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
