"ensembl_gene_id","ensembl_gene_id_hg38","gene_name_hg19","gene_name_local","gene_name_hg38","mismatch_hg19","mismatch_ensembl","entrezgene_ids","refseq_status","refseq_hardcoded","ensembl_transcript_hardcoded"
"ENSG00000003400","ENSG00000003400","CASP10","CASP10","CASP10","FALSE","FALSE",843,,,
"ENSG00000004455","ENSG00000004455","AK2","AK2","AK2","FALSE","FALSE",204,,,
"ENSG00000006062","ENSG00000006062","MAP3K14","MAP3K14","MAP3K14","FALSE","FALSE","NA","grch38","NM_003954","ENST00000344686"
"ENSG00000007312","ENSG00000007312","CD79B","CD79B","CD79B","FALSE","FALSE",974,,,
"ENSG00000010671","ENSG00000010671","BTK","BTK","BTK","FALSE","FALSE",695,,,
"ENSG00000012232","ENSG00000012232","EXTL3","EXTL3","EXTL3","FALSE","FALSE",2137,,,
"ENSG00000013375","ENSG00000013375","PGM3","PGM3","PGM3","FALSE","FALSE",5238,,,
"ENSG00000015285","ENSG00000015285","WAS","WAS","WAS","FALSE","FALSE",7454,,,
"ENSG00000026103","ENSG00000026103","FAS","FAS","FAS","FALSE","FALSE",355,,,
"ENSG00000027697","ENSG00000027697","IFNGR1","IFNGR1","IFNGR1","FALSE","FALSE",3459,,,
"ENSG00000049249","ENSG00000049249","TNFRSF9","TNFRSF9","TNFRSF9","FALSE","FALSE",3604,,,
"ENSG00000049768","ENSG00000049768","FOXP3","FOXP3","FOXP3","FALSE","FALSE",50943,,,
"ENSG00000051523","ENSG00000051523","CYBA","CYBA","CYBA","FALSE","FALSE",1535,,,
"ENSG00000056972","ENSG00000056972","TRAF3IP2","TRAF3IP2","TRAF3IP2","FALSE","FALSE",10758,,,
"ENSG00000062822","ENSG00000062822","POLD1","POLD1","POLD1","FALSE","FALSE",5424,,,
"ENSG00000064012","ENSG00000064012","CASP8","CASP8","CASP8","FALSE","FALSE",841,,,
"ENSG00000064490","ENSG00000064490","RFXANK","RFXANK","RFXANK","FALSE","FALSE",8625,,,
"ENSG00000067182","ENSG00000067182","TNFRSF1A","TNFRSF1A","TNFRSF1A","FALSE","FALSE",7132,,,
"ENSG00000068724","ENSG00000068724","TTC7A","TTC7A","TTC7A","FALSE","FALSE",57217,,,
"ENSG00000069974","ENSG00000069974","RAB27A","RAB27A","RAB27A","FALSE","FALSE",5873,,,
"ENSG00000071127","ENSG00000071127","WDR1","WDR1","WDR1","FALSE","FALSE",9948,,,
"ENSG00000071553","ENSG00000071553","ATP6AP1","ATP6AP1","ATP6AP1","FALSE","FALSE",537,,,
"ENSG00000071564","ENSG00000071564","TCF3","TCF3","TCF3","FALSE","FALSE",6929,,,
"ENSG00000072274","ENSG00000072274","TFRC","TFRC","TFRC","FALSE","FALSE",7037,,,
"ENSG00000072756","ENSG00000072756","TRNT1","TRNT1","TRNT1","FALSE","FALSE",51095,,,
"ENSG00000076248","ENSG00000076248","UNG","UNG","UNG","FALSE","FALSE",7374,,,
"ENSG00000076928","ENSG00000076928","ARHGEF1","ARHGEF1","ARHGEF1","FALSE","FALSE","9138:100505585",,,
"ENSG00000076944","ENSG00000076944","STXBP2","STXBP2","STXBP2","FALSE","FALSE",6813,,,
"ENSG00000077150","ENSG00000077150","NFKB2","NFKB2","NFKB2","FALSE","FALSE",4791,,,
"ENSG00000081237","ENSG00000081237","PTPRC","PTPRC","PTPRC","FALSE","FALSE",5788,,,
"ENSG00000088305","ENSG00000088305","DNMT3B","DNMT3B","DNMT3B","FALSE","FALSE",1789,,,
"ENSG00000091106","ENSG00000091106","NLRC4","NLRC4","NLRC4","FALSE","FALSE",58484,,,
"ENSG00000091592","ENSG00000091592","NLRP1","NLRP1","NLRP1","FALSE","FALSE",22861,,,
"ENSG00000092098","ENSG00000092098","RNF31","RNF31","RNF31","FALSE","FALSE",55072,,,
"ENSG00000092330","ENSG00000092330","TINF2","TINF2","TINF2","FALSE","FALSE",26277,,,
"ENSG00000092929","ENSG00000092929","UNC13D","UNC13D","UNC13D","FALSE","FALSE",201294,,,
"ENSG00000093072","ENSG00000093072","CECR1","ADA2","ADA2","TRUE","FALSE",51816,,,
"ENSG00000095585","ENSG00000095585","BLNK","BLNK","BLNK","FALSE","FALSE",29760,,,
"ENSG00000096996","ENSG00000096996","IL12RB1","IL12RB1","IL12RB1","FALSE","FALSE",3594,,,
"ENSG00000100365","ENSG00000100365","NCF4","NCF4","NCF4","FALSE","FALSE",4689,,,
"ENSG00000100385","ENSG00000100385","IL2RB","IL2RB","IL2RB","FALSE","FALSE",3560,,,
"ENSG00000100479","ENSG00000100479","POLE2","POLE2","POLE2","FALSE","FALSE",5427,,,
"ENSG00000100714","ENSG00000100714","MTHFD1","MTHFD1","MTHFD1","FALSE","FALSE",4522,,,
