"ensembl_gene_id","hgnc_symbol","transcript_biotype","description"
"ENSG00000012817","KDM5D","protein_coding","lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]"
"ENSG00000067646","ZFY","protein_coding","zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]"
"ENSG00000067048","DDX3Y","protein_coding","DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]"
"ENSG00000027001","MIPEP","protein_coding","mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]"
"ENSG00000023516","AKAP11","protein_coding","A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]"
"ENSG00000083535","PIBF1","protein_coding","progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]"
"ENSG00000065150","IPO5","protein_coding","importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]"
"ENSG00000088386","SLC15A1","protein_coding","solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]"
"ENSG00000083520","DIS3","protein_coding","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]"
"ENSG00000089012","SIRPG","protein_coding","signal regulatory protein gamma [Source:HGNC Symbol;Acc:HGNC:15757]"
"ENSG00000089063","TMEM230","protein_coding","transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]"
"ENSG00000088876","ZNF343","protein_coding","zinc finger protein 343 [Source:HGNC Symbol;Acc:HGNC:16017]"
"ENSG00000088930","XRN2","protein_coding","5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]"
"ENSG00000077984","CST7","protein_coding","cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]"
"ENSG00000041515","MYO16","protein_coding","myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]"
"ENSG00000017797","RALBP1","protein_coding","ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]"
"ENSG00000088782","DEFB127","protein_coding","defensin beta 127 [Source:HGNC Symbol;Acc:HGNC:16206]"
"ENSG00000088448","ANKRD10","protein_coding","ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]"
"ENSG00000089057","SLC23A2","protein_coding","solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]"
"ENSG00000089123","TASP1","protein_coding","taspase 1 [Source:HGNC Symbol;Acc:HGNC:15859]"
"ENSG00000064655","EYA2","protein_coding","EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]"
"ENSG00000062598","ELMO2","protein_coding","engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]"
"ENSG00000041353","RAB27B","protein_coding","RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]"
"ENSG00000042062","RIPOR3","protein_coding","RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]"
"ENSG00000080189","SLC35C2","protein_coding","solute carrier family 35 member C2 [Source:HGNC Symbol;Acc:HGNC:17117]"
"ENSG00000081138","CDH7","protein_coding","cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]"
"ENSG00000054803","CBLN4","protein_coding","cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231]"
"ENSG00000054793","ATP9A","protein_coding","ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]"
"ENSG00000089101","CFAP61","protein_coding","cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]"
"ENSG00000081913","PHLPP1","protein_coding","PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]"
"ENSG00000080618","CPB2","protein_coding","carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]"
"ENSG00000071991","CDH19","protein_coding","cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]"
"ENSG00000054611","TBC1D22A","protein_coding","TBC1 domain family member 22A [Source:HGNC Symbol;Acc:HGNC:1309]"
"ENSG00000020256","ZFP64","protein_coding","ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]"
"ENSG00000075218","GTSE1","protein_coding","G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]"
"ENSG00000087510","TFAP2C","protein_coding","transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]"
"ENSG00000083544","TDRD3","protein_coding","tudor domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20612]"
"ENSG00000075234","TTC38","protein_coding","tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]"
"ENSG00000032742","IFT88","protein_coding","intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]"
"ENSG00000087495","PHACTR3","protein_coding","phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]"
"ENSG00000080839","RBL1","protein_coding","RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]"
"ENSG00000025293","PHF20","protein_coding","PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]"
"ENSG00000087301","TXNDC16","protein_coding","thioredoxin domain containing 16 [Source:HGNC Symbol;Acc:HGNC:19965]"
"ENSG00000073910","FRY","protein_coding","FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]"
"ENSG00000075643","MOCOS","protein_coding","molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]"
"ENSG00000083642","PDS5B","protein_coding","PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]"
"ENSG00000011201","ANOS1","protein_coding","anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]"
"ENSG00000004961","HCCS","protein_coding","holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]"
"ENSG00000078043","PIAS2","protein_coding","protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]"
"ENSG00000020426","MNAT1","protein_coding","MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]"
"ENSG00000005812","FBXL3","protein_coding","F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]"
